episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.6947683589996814,True,False
2,480.0,734,1119,0.2,0.027531183204458406,2.030384554000193,True,False
3,450.0,524,1643,0.2,0.030578849523706816,3.914153900999736,True,False
4,520.0,576,2219,0.2,0.029759408758157708,5.973050650000005,True,False
5,380.0,459,2678,0.2,0.03341397083384673,7.830491226000049,True,False
6,210.0,288,2966,0.2,0.03448233252210128,10.258868926000105,True,False
7,480.0,436,3402,0.2,0.031918696680537706,14.175635699999475,True,False
8,410.0,453,3855,0.2,0.0342040042335217,17.67338909799946,True,False
9,220.0,327,4182,0.2,0.035825139105571266,19.3745895510001,True,False
10,410.0,442,4624,0.2,0.0364315007930739,21.187283307000143,True,False
11,410.0,427,5051,0.2,0.042191254612023256,23.302581453999665,True,False
12,540.0,523,5574,0.2,0.04326045722522922,25.16743289199985,True,False
13,1500.0,780,6354,0.2,0.04314051902948473,27.874268821999976,True,False
14,2130.0,872,7226,0.2,0.04558022976148053,30.857276672999433,True,False
15,890.0,768,7994,0.2,0.04141237191045851,33.68975908499942,True,False
16,460.0,443,8437,0.2,0.046265131942843936,35.96483221000017,True,False
17,380.0,428,8865,0.2,0.043212004948111477,37.58731311599968,True,False
18,930.0,728,9593,0.2,0.043537727216831766,40.20648215100027,True,False
19,2340.0,839,10432,0.2,0.04565382249337355,43.19201564499963,True,False
20,400.0,391,10823,0.2,0.04550869263151718,44.677399948999664,True,False
21,1120.0,699,11522,0.2,0.040277556192595515,47.51616185199964,True,False
22,490.0,481,12003,0.2,0.04065156076103449,49.74343636100002,True,False
23,210.0,347,12350,0.2,0.04597305845276549,51.11361481499989,True,False
24,330.0,338,12688,0.2,0.03996180732296232,52.43848839899965,True,False
25,440.0,468,13156,0.2,0.04503072064338077,54.19603223800004,True,False
26,360.0,413,13569,0.2,0.043688365081958114,57.855634206000104,True,False
27,550.0,512,14081,0.2,0.042757070567859046,59.92603411100026,True,False
28,400.0,428,14509,0.2,0.04145191886454655,62.116478480000296,True,False
29,380.0,406,14915,0.2,0.04278417941791439,63.61518929199974,True,False
30,300.0,339,15254,0.2,0.042726925383869775,64.91116129900001,True,False
